Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C15, C17, C18, C19, C2, C22, C23, C3, C4, C6, C8",805,12,100n,C49678
"C10, C9",805,2,1u,C28323
C11,1206,1,22u,C12891
C12,805,1,2.2u,C377773
"C13, C14",805,2,0.1u,C49678
"C16, C21",1206,2,10u,C13585
C5,805,1,10u,C15850
C7,805,1,4.7u,C1779
D1,SOD2512X110N,1,"PESD5V0U1UA,115",C19829579
ERROR,LEDC1608X55N,1,LTST-C191KRKT,C125099
F1,MFLSMF050X2,1,MF-LSMF050X-2,C22692036
FB1,BEADC1608X75N,1,MMZ1608B121CTAH0,C275436
"FWST, LED_3V3, LED_5V",LEDC1608X80N,3,LTST-C190KGKT,C125094
HM2,SON100P300X300X110-7N-D,1,SHT21,C45324640
IC1,SOT95P280X145-6N,1,TPS560430X3FDBVR,C2071721
IC2,IMU_LSM6DS3USTR,1,ASM330LHHTR,C459826
J1,USB4125GFA0190,1,USB4125-GF-A-0190,C5246813
J2,PinHeader_1x10_P2.54mm_Vertical,1,Conn_01x10,C2894933
J3,PinHeader_1x04_P2.54mm_Vertical,1,UART,C5116483
J4,PinHeader_1x05_P2.54mm_Vertical,1,ST-Link/V2,C5156614
L1,ASPI-4030S,1,ASPI-4030S-120M-T,C2050348
"R1, R10, R2",805,3,10k,C17414
"R11, R12, R8, R9",805,4,4.7k,C17673
"R13, R15, R16",805,3,330,C17630
R14,805,1,680,C17798
"R3, R4",805,2,5.1k,C27834
R5,402,1,1M,C26083
R6,805,1,51k,C17737
R7,805,1,22.1k,C17552
U1,QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm,1,STM32F411CEU6,C60420
