Designator,Mid X,Mid Y,Rotation,Layer
C1,68.4,-56.494486,90.0,top
C10,78.9,-69.65,180.0,top
C11,52.6,-38.325,270.0,top
C12,61.85,-44.75,270.0,top
C13,64.05,-44.75,270.0,top
C14,54.95,-40.35,270.0,top
C15,68.8,-45.3,270.0,top
C16,69.525,-42.35,180.0,top
C17,73.65,-42.5,0.0,top
C18,80.35,-41.885037,0.0,top
C19,80.4,-48.485037,0.0,top
C2,78.65,-66.1,180.0,top
C21,55.575,-49.3,180.0,top
C22,60.3,-49.4,0.0,top
C23,50.37,-55.4,0.0,top
C3,79.8,-57.694486,270.0,top
C4,71.2,-55.45,0.0,top
C5,67.3,-59.3,180.0,top
C6,67.0,-61.4,180.0,top
C7,75.7,-66.65,270.0,top
C8,66.5,-64.25,270.0,top
C9,64.4,-64.194486,270.0,top
D1,57.0,-62.675,0.0,top
ERROR,75.95,-36.425,90.0,top
F1,58.65,-55.92,90.0,top
FB1,68.4,-64.044486,270.0,top
FWST,68.15,-36.35,90.0,top
H1,48.3,-37.3,0.0,top
H2,83.3,-37.3,0.0,top
H3,48.3,-72.0,0.0,top
H4,83.3,-72.014963,0.0,top
HM2,79.15,-45.15,90.0,top
IC1,58.1375,-42.55,0.0,top
IC2,72.4,-45.888,180.0,top
J1,50.85,-62.87,270.0,top
J2,66.35,-73.3,270.0,top
J3,84.3,-62.78,180.0,top
J4,84.4,-49.04,180.0,top
L1,61.55,-37.45,90.0,top
LED3V3,47.6625,-52.7,0.0,top
LED5V,47.5875,-49.2,0.0,top
R1,71.1375,-53.4,0.0,top
R10,68.55,-49.4625,270.0,top
R11,81.1875,-46.385037,180.0,bottom
R12,81.2125,-44.235037,180.0,bottom
R13,51.6625,-52.75,180.0,top
R14,51.45,-49.25,180.0,top
R15,71.8,-36.3625,90.0,top
R16,79.35,-36.4375,270.0,top
R2,66.25,-56.4625,270.0,top
R3,49.7875,-61.87,180.0,bottom
R4,49.7875,-63.87,180.0,bottom
R5,52.67,-55.26,90.0,top
R6,50.8375,-45.25,0.0,top
R7,53.6,-44.5125,90.0,top
R8,74.8625,-49.2,180.0,top
R9,71.75,-49.9625,270.0,top
U1,73.95,-60.7,90.0,top
