Designator,Mid X,Mid Y,Rotation,Layer
C1,68.4,-54.95,90.0,top
C10,69.425,-66.125,180.0,top
C11,52.6,-38.325,270.0,top
C12,61.85,-44.75,270.0,top
C13,64.05,-44.75,270.0,top
C14,54.95,-40.35,270.0,top
C15,69.3,-45.3,270.0,top
C16,70.025,-42.35,180.0,top
C17,74.15,-42.5,0.0,top
C18,80.35,-41.885037,0.0,top
C19,80.4,-48.485037,0.0,top
C2,78.15,-64.4,180.0,top
C21,55.575,-49.3,180.0,top
C22,60.3,-49.4,0.0,top
C23,50.37,-55.4,0.0,top
C3,79.8,-56.15,270.0,top
C4,71.55,-53.75,0.0,top
C5,67.3,-57.755514,180.0,top
C6,67.0,-59.855514,180.0,top
C7,75.35,-65.1,270.0,top
C8,66.5,-62.705514,270.0,top
C9,64.4,-62.65,270.0,top
D1,57.0,-62.675,0.0,top
ERROR,78.55,-37.0125,270.0,top
F1,58.65,-55.92,90.0,top
FB1,68.4,-62.5,270.0,top
FWST,75.15,-37.1,270.0,top
H1,48.3,-37.3,0.0,top
H2,83.3,-37.3,0.0,top
H3,48.3,-72.0,0.0,top
H4,83.3,-72.014963,0.0,top
HM2,79.4,-45.135037,90.0,top
IC1,58.1375,-42.55,0.0,top
IC2,72.9,-45.888,180.0,top
J1,50.85,-62.87,270.0,top
J2,66.0,-73.25,270.0,top
J3,84.3,-62.78,180.0,top
J4,84.25,-49.05,180.0,top
L1,61.55,-37.45,90.0,top
LED_3V3,68.35,-37.1,270.0,top
LED_5V,71.75,-37.1,270.0,top
R1,71.4875,-51.7,0.0,top
R10,66.75,-50.7125,270.0,bottom
R11,81.1875,-46.385037,180.0,bottom
R12,81.2125,-44.235037,180.0,bottom
R13,68.35,-40.7125,90.0,bottom
R14,71.75,-40.7125,90.0,bottom
R15,75.15,-40.6875,90.0,bottom
R16,78.55,-40.6125,270.0,bottom
R2,68.0875,-57.2,180.0,bottom
R3,49.7875,-61.87,180.0,bottom
R4,49.7875,-63.87,180.0,bottom
R5,52.67,-55.26,90.0,top
R6,50.8375,-45.25,0.0,top
R7,53.6,-44.5125,90.0,top
R8,71.3,-50.7125,90.0,bottom
R9,68.775,-50.725,270.0,bottom
U1,73.95,-59.155514,90.0,top
